,Time,T1,T2,day
0,0:0:2,27.34375,33.790713028169016,1
1,0:3:2,27.587890625,33.790713028169016,1
2,0:6:2,27.587890625,33.790713028169016,1
3,0:9:2,27.34375,33.790713028169016,1
4,0:12:2,27.34375,33.790713028169016,1
5,0:15:2,27.34375,33.790713028169016,1
6,0:18:2,27.34375,33.10299295774648,1
7,0:21:2,27.34375,33.790713028169016,1
8,0:24:2,27.34375,33.790713028169016,1
9,0:27:2,27.34375,33.790713028169016,1
10,0:30:2,27.34375,33.790713028169016,1
11,0:33:2,27.34375,33.10299295774648,1
12,0:36:2,27.34375,33.790713028169016,1
13,0:39:2,27.099609375,33.790713028169016,1
14,0:42:3,27.34375,33.10299295774648,1
15,0:45:3,27.34375,33.790713028169016,1
16,0:48:3,27.099609375,33.790713028169016,1
17,0:51:3,27.34375,33.790713028169016,1
18,0:54:3,26.85546875,33.790713028169016,1
19,0:57:3,26.85546875,33.10299295774648,1
20,1:0:3,26.85546875,33.10299295774648,1
21,1:3:3,26.85546875,33.10299295774648,1
22,1:6:3,26.85546875,33.10299295774648,1
23,1:9:3,26.85546875,33.10299295774648,1
24,1:12:3,26.611328125,33.10299295774648,1
25,1:15:3,26.85546875,33.10299295774648,1
26,1:18:4,26.611328125,33.10299295774648,1
27,1:21:4,26.611328125,33.10299295774648,1
28,1:24:4,26.3671875,33.10299295774648,1
29,1:27:4,26.611328125,33.10299295774648,1
30,1:30:4,26.611328125,33.10299295774648,1
31,1:33:4,26.611328125,33.10299295774648,1
32,1:36:4,26.611328125,32.415272887323944,1
33,1:39:4,26.3671875,33.10299295774648,1
34,1:42:4,26.611328125,33.10299295774648,1
35,1:45:4,26.611328125,33.10299295774648,1
36,1:48:4,26.611328125,33.10299295774648,1
37,1:51:5,26.611328125,33.10299295774648,1
38,1:54:5,26.611328125,33.10299295774648,1
39,1:57:5,26.611328125,32.415272887323944,1
40,2:0:5,26.611328125,33.10299295774648,1
41,2:3:5,26.123046875,33.10299295774648,1
42,2:6:5,26.3671875,33.10299295774648,1
43,2:9:5,26.3671875,33.10299295774648,1
44,2:12:5,26.3671875,32.415272887323944,1
45,2:15:5,26.123046875,32.415272887323944,1
46,2:18:5,26.3671875,32.415272887323944,1
47,2:21:6,26.3671875,32.415272887323944,1
48,2:24:6,26.123046875,32.415272887323944,1
49,2:27:6,25.87890625,33.10299295774648,1
50,2:30:6,25.87890625,32.415272887323944,1
51,2:33:6,26.123046875,32.415272887323944,1
52,2:36:6,26.123046875,32.415272887323944,1
53,2:39:6,26.123046875,32.415272887323944,1
54,2:42:6,26.123046875,32.415272887323944,1
55,2:45:6,26.123046875,32.415272887323944,1
56,2:48:6,26.123046875,32.415272887323944,1
57,2:51:6,25.634765625,32.415272887323944,1
58,2:54:7,25.634765625,32.415272887323944,1
59,2:57:7,25.634765625,32.415272887323944,1
60,3:0:7,25.87890625,32.415272887323944,1
61,3:3:7,25.634765625,32.415272887323944,1
62,3:6:7,25.390625,32.415272887323944,1
63,3:9:7,25.390625,32.415272887323944,1
64,3:12:7,25.634765625,31.72755281690141,1
65,3:15:7,25.634765625,31.72755281690141,1
66,3:18:7,25.634765625,32.415272887323944,1
67,3:21:8,25.634765625,31.72755281690141,1
68,3:24:8,25.87890625,31.72755281690141,1
69,3:27:8,25.634765625,31.72755281690141,1
70,3:30:8,25.634765625,31.72755281690141,1
71,3:33:8,25.634765625,31.72755281690141,1
72,3:36:8,25.87890625,31.72755281690141,1
73,3:39:8,25.634765625,32.415272887323944,1
74,3:42:8,25.634765625,31.72755281690141,1
75,3:45:9,25.87890625,32.415272887323944,1
76,3:48:9,25.87890625,31.72755281690141,1
77,3:51:9,25.634765625,32.415272887323944,1
78,3:54:9,25.634765625,31.72755281690141,1
79,3:57:9,25.634765625,31.72755281690141,1
80,4:0:9,25.390625,32.415272887323944,1
81,4:3:9,25.390625,31.72755281690141,1
82,4:6:9,25.390625,32.415272887323944,1
83,4:9:9,25.634765625,31.72755281690141,1
84,4:12:9,25.634765625,31.72755281690141,1
85,4:15:10,25.390625,31.72755281690141,1
86,4:18:10,25.390625,31.72755281690141,1
87,4:21:10,25.390625,31.72755281690141,1
88,4:24:10,25.634765625,31.72755281690141,1
89,4:27:10,25.634765625,32.415272887323944,1
90,4:30:10,25.634765625,31.72755281690141,1
91,4:33:10,25.390625,31.72755281690141,1
92,4:36:10,25.390625,31.72755281690141,1
93,4:39:10,25.146484375,31.72755281690141,1
94,4:42:10,25.634765625,31.72755281690141,1
95,4:45:11,25.390625,31.72755281690141,1
96,4:48:11,25.634765625,31.72755281690141,1
97,4:51:11,25.390625,31.72755281690141,1
98,4:54:12,25.390625,31.72755281690141,1
99,4:57:12,25.634765625,31.72755281690141,1
100,5:0:12,25.146484375,31.72755281690141,1
101,5:3:12,24.90234375,31.72755281690141,1
102,5:6:12,24.90234375,31.039832746478876,1
103,5:9:12,25.146484375,31.039832746478876,1
104,5:12:12,25.146484375,31.72755281690141,1
105,5:15:12,24.90234375,31.039832746478876,1
106,5:18:13,24.90234375,31.72755281690141,1
107,5:21:13,24.90234375,31.72755281690141,1
108,5:24:13,25.146484375,31.72755281690141,1
109,5:27:13,24.90234375,31.72755281690141,1
110,5:30:13,24.90234375,31.72755281690141,1
111,5:33:13,24.90234375,31.039832746478876,1
112,5:36:13,24.90234375,31.72755281690141,1
113,5:39:13,25.146484375,31.039832746478876,1
114,5:42:13,25.146484375,31.72755281690141,1
115,5:45:14,24.658203125,31.72755281690141,1
116,5:48:14,24.4140625,31.039832746478876,1
