Time,T1,T2
0:0:2,27.34375,33.790713028169016
0:3:2,27.587890625,33.790713028169016
0:6:2,27.587890625,33.790713028169016
0:9:2,27.34375,33.790713028169016
0:12:2,27.34375,33.790713028169016
0:15:2,27.34375,33.790713028169016
0:18:2,27.34375,33.10299295774648
0:21:2,27.34375,33.790713028169016
0:24:2,27.34375,33.790713028169016
0:27:2,27.34375,33.790713028169016
0:30:2,27.34375,33.790713028169016
0:33:2,27.34375,33.10299295774648
0:36:2,27.34375,33.790713028169016
0:39:2,27.099609375,33.790713028169016
0:42:3,27.34375,33.10299295774648
0:45:3,27.34375,33.790713028169016
0:48:3,27.099609375,33.790713028169016
0:51:3,27.34375,33.790713028169016
0:54:3,26.85546875,33.790713028169016
0:57:3,26.85546875,33.10299295774648
1:0:3,26.85546875,33.10299295774648
1:3:3,26.85546875,33.10299295774648
1:6:3,26.85546875,33.10299295774648
1:9:3,26.85546875,33.10299295774648
1:12:3,26.611328125,33.10299295774648
1:15:3,26.85546875,33.10299295774648
1:18:4,26.611328125,33.10299295774648
1:21:4,26.611328125,33.10299295774648
1:24:4,26.3671875,33.10299295774648
1:27:4,26.611328125,33.10299295774648
1:30:4,26.611328125,33.10299295774648
1:33:4,26.611328125,33.10299295774648
1:36:4,26.611328125,32.415272887323944
1:39:4,26.3671875,33.10299295774648
1:42:4,26.611328125,33.10299295774648
1:45:4,26.611328125,33.10299295774648
1:48:4,26.611328125,33.10299295774648
1:51:5,26.611328125,33.10299295774648
1:54:5,26.611328125,33.10299295774648
1:57:5,26.611328125,32.415272887323944
2:0:5,26.611328125,33.10299295774648
2:3:5,26.123046875,33.10299295774648
2:6:5,26.3671875,33.10299295774648
2:9:5,26.3671875,33.10299295774648
2:12:5,26.3671875,32.415272887323944
2:15:5,26.123046875,32.415272887323944
2:18:5,26.3671875,32.415272887323944
2:21:6,26.3671875,32.415272887323944
2:24:6,26.123046875,32.415272887323944
2:27:6,25.87890625,33.10299295774648
2:30:6,25.87890625,32.415272887323944
2:33:6,26.123046875,32.415272887323944
2:36:6,26.123046875,32.415272887323944
2:39:6,26.123046875,32.415272887323944
2:42:6,26.123046875,32.415272887323944
2:45:6,26.123046875,32.415272887323944
2:48:6,26.123046875,32.415272887323944
2:51:6,25.634765625,32.415272887323944
2:54:7,25.634765625,32.415272887323944
2:57:7,25.634765625,32.415272887323944
3:0:7,25.87890625,32.415272887323944
3:3:7,25.634765625,32.415272887323944
3:6:7,25.390625,32.415272887323944
3:9:7,25.390625,32.415272887323944
3:12:7,25.634765625,31.72755281690141
3:15:7,25.634765625,31.72755281690141
3:18:7,25.634765625,32.415272887323944
3:21:8,25.634765625,31.72755281690141
3:24:8,25.87890625,31.72755281690141
3:27:8,25.634765625,31.72755281690141
3:30:8,25.634765625,31.72755281690141
3:33:8,25.634765625,31.72755281690141
3:36:8,25.87890625,31.72755281690141
3:39:8,25.634765625,32.415272887323944
3:42:8,25.634765625,31.72755281690141
3:45:9,25.87890625,32.415272887323944
3:48:9,25.87890625,31.72755281690141
3:51:9,25.634765625,32.415272887323944
3:54:9,25.634765625,31.72755281690141
3:57:9,25.634765625,31.72755281690141
4:0:9,25.390625,32.415272887323944
4:3:9,25.390625,31.72755281690141
4:6:9,25.390625,32.415272887323944
4:9:9,25.634765625,31.72755281690141
4:12:9,25.634765625,31.72755281690141
4:15:10,25.390625,31.72755281690141
4:18:10,25.390625,31.72755281690141
4:21:10,25.390625,31.72755281690141
4:24:10,25.634765625,31.72755281690141
4:27:10,25.634765625,32.415272887323944
4:30:10,25.634765625,31.72755281690141
