,Time,day
0,2.719500205,1
1,2.732434807,1
2,2.624915922,1
3,2.658060842,1
4,2.67261227,1
5,2.686355285,1
6,2.581261638,1
7,2.742135759,1
8,2.634616874,1
9,2.290233079,1
10,2.295083555,1
11,2.30882657,1
12,2.210200225,1
13,2.119658006,1
14,2.003246583,1
15,2.151994513,1
16,2.055793406,1
17,2.177863719,1
18,2.194840385,1
19,2.221518002,1
20,1.987886742,1
21,1.992737218,1
22,1.899769761,1
23,2.035583089,1
24,1.68715723,1
25,1.7106011980000002,1
26,1.827821034,1
27,1.842372462,1
28,1.616016916,1
29,1.391278195,1
30,1.5238578719999998,1
31,1.180282489,1
32,1.424423114,1
33,1.446250256,1
34,1.576404695,1
35,1.464843747,1
36,1.59014771,1
37,1.594998186,1
38,1.600657075,1
39,1.488287715,1
40,1.257081692,1
41,1.401787559,1
42,1.402595972,1
43,1.281334072,1
44,1.536792474,1
45,1.4211894630000002,1
46,1.185132965,1
47,1.443016606,1
48,1.438166129,1
49,1.4454418430000002,1
50,0.949076467,1
51,0.974137259,1
52,0.979796148,1
53,0.85610901,1
54,0.983029799,1
55,0.879552977,1
56,1.008090591,1
57,0.8819782159999999,1
58,0.632178702,1
59,0.774459331,1
60,0.526276643,1
61,0.397739029,1
62,0.407439981,1
63,0.5173841029999999,1
64,0.394505378,1
65,0.5173841029999999,1
66,0.270009828,1
67,0.2554584,1
68,0.361360459,1
69,0.467262518,1
70,0.337108079,1
71,0.082458089,1
72,0.227972369,1
73,0.334682841,1
74,0.098626343,1
75,0.318514588,1
76,0.438968075,1
77,0.5456785470000001,1
78,0.548103785,1
79,0.657239495,1
80,0.641071241,1
81,0.8844034540000001,1
82,0.741314412,1
83,0.8609594859999999,1
84,0.715445207,1
85,1.060637415,1
86,1.05012805,1
87,1.151179633,1
88,0.993539163,1
89,1.204534869,1
90,1.291843437,1
91,1.254656454,1
92,1.485054064,1
93,1.55376914,1
94,1.751830243,1
95,1.58691406,1
96,1.523049459,1
97,1.722727388,1
98,1.697666595,1
99,2.003246583,1
100,2.071961659,1
101,2.107531817,1
102,2.1584618140000003,1
103,2.322569586,1
104,2.480210055,1
105,2.265980699,1
106,2.544883069,1
107,2.576411163,1
108,2.589345765,1
109,2.606322432,1
110,2.829444327,1
111,2.805191947,1
112,3.022654954,1
113,3.157659869,1
114,3.323384465,1
115,2.913519244,1
116,3.246585262,1
117,3.20939828,1
118,3.187571138,1
119,3.144725267,1
120,3.348445258,1
121,3.3993752560000003,1
122,3.239309548,1
123,3.391291129,1
124,3.200505741,1
125,3.3597630360000004,1
126,3.631389691,1
127,3.530338108,1
128,3.788221749,1
129,3.981432376,1
130,4.02832031,1
131,3.976581899,1
132,4.477797752,1
133,4.426867754,1
134,4.482648228,1
135,4.306414267,1
136,4.654840126,1
137,4.035596024,1
138,3.249818913,1
139,2.440597835,1
140,2.491527833,1
141,1.493138191,1
142,3.640282231,1
143,6.427689102,1
144,10.54170116,1
145,11.79312396,1
146,11.54494127,1
147,10.45600941,1
148,11.55060016,1
149,15.11974208,1
150,14.40753052,1
151,14.85054066,1
152,14.79799384,1
153,13.48432326,1
154,12.33233521,1
155,9.788260552,1
156,9.825447535,1
157,7.580485562000001,1
158,7.9313366589999985,1
159,10.63547703,1
160,6.861806702999999,1
161,3.683936514,1
162,2.5085044990000003,1
163,2.428471645,1
164,2.204541336,1
165,2.036391502,1
166,2.114807531,1
167,2.249812446,1
168,2.874715436,1
169,3.274071293,1
170,3.266795579,1
171,3.271646055,1
172,3.443837953,1
173,3.632198104,1
174,3.527104457,1
175,3.79468905,1
176,3.682319689,1
177,3.663726198,1
178,3.654025246,1
179,3.748609528,1
180,3.851277936,1
181,3.95556317,1
182,3.932927616,1
183,3.93131079,1
184,3.88280603,1
185,3.932927616,1
186,3.895740633,1
187,3.740525401,1
188,3.623305565,1
189,3.587735407,1
190,3.647557945,1
191,3.429286525,1
192,3.468898745,1
193,3.645132707,1
194,3.551356837,1
195,3.625730802,1
196,3.432520175,1
197,3.239309548,1
198,3.392099542,1
199,3.428478112,1
200,3.20939828,1
201,2.873098611,1
202,2.651593541,1
203,2.808425598,1
204,2.724350681,1
205,2.761537663,1
206,2.536798942,1
207,2.560242909,1
208,2.353289267,1
209,2.384817361,1
210,2.166545941,1
211,2.45434085,1
212,2.501228785,1
213,2.157653402,1
214,2.207774987,1
215,2.001629757,1
216,1.902195,1
217,2.057410231,1
218,2.206158162,1
219,1.997587694,1
220,1.661288025,1
221,1.813269606,1
222,1.837521986,1
223,1.977377378,1
224,1.900578174,1
225,1.907853888,1
226,1.943424045,1
227,1.853690239,1
228,2.007288646,1
229,2.025882137,1
230,1.835096748,1
231,1.865008017,1
232,1.889260397,1
233,1.790634052,1
234,1.467268985,1
235,1.59904025,1
236,1.616825329,1
237,1.3937034330000002,1
238,1.302352802,1
239,1.193217092,1
240,1.376726767,1
241,1.267591057,1
242,1.282142485,1
